stop_id,stop_name,stop_lat,stop_lon,color
01METRO-Zapotitlan,Metro Zapotitlán,19.29666,-99.03431,B99E51
01METRO-Zapata,Metro Zapata,19.37085,-99.1656,AD9B0C
01METRO-Tlaltenco,Metro Tlaltenco,19.29435,-99.02403,B99E51
01METRO-Tlahuac,Metro Tláhuac,19.28602,-99.0142,B99E51
01METRO-Tezonco,Metro Tezonco,19.30631,-99.06527,B99E51
01METRO-SanAndresTomatlan,Metro San Andrés Tomatlán,19.32815,-99.10452,B99E51
01METRO-PerifericoOriente,Metro Periférico Oriente,19.31761,-99.07451,B99E51
01METRO-ParquedelosVenados,Metro Parque de los Venados,19.37066,-99.15872,B99E51
01METRO-Olivos,Metro Olivos,19.30432,-99.05951,B99E51
01METRO-Nopalera,Metro Nopalera,19.29996,-99.04599,B99E51
01METRO-Mixcoac,Metro Mixcoac,19.3757,-99.18673,B99E51
01METRO-Mexicaltzingo,Metro Mexicaltzingo,19.35776,-99.12314,B99E51
01METRO-LomasEstrella,Metro Lomas Estrella,19.32215,-99.09575,B99E51
01METRO-InsurgentesSur,Metro Insurgentes Sur,19.37355,-99.17825,B99E51
01METRO-Hospital20deNoviembre,Metro Hospital 20 de Noviembre,19.37201,-99.17088,B99E51
01METRO-Ermita,Metro Ermita,19.35982,-99.14163,0071C1
01METRO-EjeCentral,Metro Eje Central,19.36134,-99.15142,B99E51
01METRO-Culhuacan,Metro Culhuacán,19.33685,-99.10896,B99E51
01METRO-Calle11,Metro Calle 11,19.32047,-99.08587,B99E51
01METRO-Atlalilco,Metro Atlalilco,19.35275,-99.10624,B99E51
01METRO-VilladeAragon,Metro Villa de Aragón,19.46167,-99.06138,118751
01METRO-Tepito,Metro Tepito,19.44279,-99.12407,118751
01METRO-SanLazaro,Metro San Lázaro,19.43237,-99.11296,118751
01METRO-RomeroRubio,Metro Romero Rubio,19.44084,-99.0942,118751
01METRO-RiodelosRemedios,Metro Río de los Remedios,19.49069,-99.04679,118751
01METRO-RicardoFloresMagon,Metro Ricardo Flores Magón,19.43657,-99.10371,118751
01METRO-PlazaAragon,Metro Plaza Aragón,19.52848,-99.03018,118751
01METRO-Olimpica,Metro Olímpica,19.52135,-99.03334,118751
01METRO-Oceania,Metro Oceanía,19.44569,-99.08722,118751
01METRO-Nezahualcoyotl,Metro Nezahualcóyotl,19.47289,-99.05461,118751
01METRO-Muzquiz,Metro Múzquiz,19.50149,-99.04207,118751
01METRO-Morelos,Metro Morelos,19.43917,-99.11957,118751
01METRO-Lagunilla,Metro Lagunilla,19.44322,-99.13023,118751
01METRO-Impulsora,Metro Impulsora,19.48575,-99.04896,118751
01METRO-Guerrero,Metro Guerrero,19.44514,-99.14614,AD9B0C
01METRO-Garibaldi,Metro Garibaldi/Lagunilla,19.44389,-99.13787,118751
01METRO-Ecatepec,Metro Ecatepec,19.51513,-99.03607,118751
01METRO-DeportivoOceania,Metro Deportivo Oceanía,19.45101,-99.07933,118751
01METRO-CiudadAzteca,Metro Ciudad Azteca,19.53451,-99.02751,118751
01METRO-Buenavista,Metro Buenavista,19.44619,-99.15235,118751
01METRO-BosquesdeAragon,Metro Bosque de Aragón,19.45809,-99.06929,118751
01METRO-Tepalcates,Metro Tepalcates,19.39128,-99.04633,A02D96
01METRO-SantaMarta,Metro Santa Marta,19.36031,-98.99518,A02D96
01METRO-PenonViejo,Metro Penón Viejo,19.37331,-99.01705,A02D96
01METRO-Pantitlan,Metro Pantitlán,19.4153,-99.07192,A02D96
01METRO-LosReyes,Metro Los Reyes,19.35904,-98.97687,A02D96
01METRO-LaPaz,Metro La Paz,19.35056,-98.96094,A02D96
01METRO-Guelatao,Metro Guelatao,19.38515,-99.03566,A02D96
01METRO-CanaldeSanJuan,Metro Canal de San Juan,19.39876,-99.05942,A02D96
01METRO-AgricolaOriental,Metro Agrícola Oriental,19.40462,-99.06957,A02D96
01METRO-Acatitla,Metro Acatitla,19.36472,-99.00567,A02D96
01METRO-Velodromo,Metro Velódromo,19.40854,-99.10316,512826
01METRO-Tacubaya,Metro Tacubaya,19.40146,-99.18776,512826
01METRO-Puebla,Metro Puebla,19.40719,-99.08239,512826
01METRO-Patriotismo,Metro Patriotismo,19.40611,-99.17892,512826
01METRO-Mixiuhca,Metro Mixiuhca,19.40837,-99.11297,512826
01METRO-LazaroCardenas,Metro Lázaro Cárdenas,19.40722,-99.14463,512826
01METRO-Jamaica,Metro Jamaica,19.4091,-99.12235,512826
01METRO-CiudadDeportiva,Metro Ciudad Deportiva,19.40843,-99.09125,512826
01METRO-Chilpancingo,Metro Chilpancingo,19.40593,-99.16852,512826
01METRO-Chabacano,Metro Chabacano,19.40851,-99.13397,0071C1
01METRO-CentroMedico,Metro Centro Médico,19.40656,-99.15603,AD9B0C
01METRO-UAMI,Metro UAM-I,19.35106,-99.07482,118749
01METRO-SantaAnita,Metro Santa Anita,19.40412,-99.12066,118749
01METRO-SanJuandeLetran,Metro San Juan de Letrán,19.43158,-99.14125,118749
01METRO-SaltodelAgua,Metro Salto del Agua,19.42772,-99.14185,118749
01METRO-Obrera,Metro Obrera,19.41324,-99.14404,118749
01METRO-LaViga,Metro La Viga,19.40671,-99.12627,118749
01METRO-Iztapalapa,Metro Iztapalapa,19.35783,-99.09345,118749
01METRO-Iztacalco,Metro Iztacalco,19.38829,-99.11211,118749
01METRO-Escuadron201,Metro Escuadrón 201,19.36484,-99.10948,118749
01METRO-Doctores,Metro Doctores,19.42155,-99.14319,118749
01METRO-Coyuya,Metro Coyuya,19.3983,-99.11348,118749
01METRO-Constitucionde1917,Metro Constitución de 1917,19.34597,-99.0638,118749
01METRO-CerrodelaEstrella,Metro Cerro de la Estrella,19.35605,-99.08562,118749
01METRO-BellasArtes,Metro Bellas Artes,19.43701,-99.14042,0071C1
01METRO-Apatlaco,Metro Apatlaco,19.3791,-99.10949,118749
01METRO-Aculco,Metro Aculco,19.37321,-99.1077,118749
01METRO-Tacuba,Metro Tacuba,19.45823,-99.18717,0071C1
01METRO-SanPedrodelosPinos,Metro San Pedro de los Pinos,19.39149,-99.18581,E87511
01METRO-SanJoaquin,Metro San Joaquín,19.44501,-99.19177,E87511
01METRO-SanAntonio,Metro San Antonio,19.38434,-99.18661,E87511
01METRO-Refineria,Metro Refinería,19.46947,-99.19051,E87511
01METRO-Polanco,Metro Polanco,19.43355,-99.19093,E87511
01METRO-ElRosario,Metro El Rosario,19.50474,-99.20012,E87511
01METRO-Constituyentes,Metro Constituyentes,19.41177,-99.19135,E87511
01METRO-Camarones,Metro Camarones,19.47911,-99.19004,E87511
01METRO-BarrancadelMuerto,Metro Barranca del Muerto,19.3615,-99.18926,E87511
01METRO-Auditorio,Metro Auditorio,19.42576,-99.19203,E87511
01METRO-AquilesSerdan,Metro Aquiles Serdán,19.49064,-99.19535,E87511
01METRO-Vallejo,Metro Vallejo,19.48985,-99.156,D81E05
01METRO-Tezozomoc,Metro Tezozómoc,19.4949,-99.19602,D81E05
01METRO-Norte45,Metro Norte 45,19.48867,-99.16299,D81E05
01METRO-MartinCarrera,Metro Martín Carrera,19.48294,-99.10748,D81E05
01METRO-Lindavista,Metro Lindavista,19.48811,-99.13507,D81E05
01METRO-LaVilla-Basilica,Metro La Villa/Basílica,19.48174,-99.11837,D81E05
01METRO-InstitutodelPetroleo,Metro Instituto del Petróleo,19.49104,-99.14813,D81E05
01METRO-Ferreria,Metro Ferrería/Arena Ciudad de México,19.49067,-99.17415,D81E05
