stop_id,stop_name,stop_lat,stop_lon,,,
01METRO-Zapotitlan,Zapotitl�n,19.29666,-99.03431,,,
01METRO-Zapata,Zapata,19.37085,-99.1656,,,
01METRO-Tlaltenco,Tlaltenco,19.29435,-99.02403,,,
01METRO-Tlahuac,Tl�huac,19.28602,-99.0142,,,
01METRO-Tezonco,Tezonco,19.30631,-99.06527,,,
01METRO-SanAndresTomatlan,San Andr�s Tomatl�n,19.32815,-99.10452,,,
01METRO-PerifericoOriente,Perif�rico Oriente,19.31761,-99.07451,,,
01METRO-ParquedelosVenados,Parque de los Venados,19.37066,-99.15872,,,
01METRO-Olivos,Olivos,19.30432,-99.05951,,,
01METRO-Nopalera,Nopalera,19.29996,-99.04599,,,
01METRO-Mixcoac,Mixcoac,19.3757,-99.18673,,,
01METRO-Mexicaltzingo,Mexicaltzingo,19.35776,-99.12314,,,
01METRO-LomasEstrella,Lomas Estrella,19.32215,-99.09575,,,
01METRO-InsurgentesSur,Insurgentes Sur,19.37355,-99.17825,,,
01METRO-Hospital20deNoviembre,Hospital 20 de Noviembre,19.37201,-99.17088,,,
01METRO-Ermita,Ermita,19.35982,-99.14163,,,
01METRO-EjeCentral,Eje Central,19.36134,-99.15142,,,
01METRO-Culhuacan,Culhuac�n,19.33685,-99.10896,,,
01METRO-Calle11,Calle 11,19.32047,-99.08587,,,
01METRO-Atlalilco,Atlalilco,19.35275,-99.10624,,,
01METRO-VilladeAragon,Villa de Arag�n,19.46167,-99.06138,,,
01METRO-Tepito,Tepito,19.44279,-99.12407,,,
01METRO-SanLazaro,San L�zaro,19.43237,-99.11296,,,
01METRO-RomeroRubio,Romero Rubio,19.44084,-99.0942,,,
01METRO-RiodelosRemedios,R�o de los Remedios,19.49069,-99.04679,,,
01METRO-RicardoFloresMagon,Ricardo Flores Mag�n,19.43657,-99.10371,,,
01METRO-PlazaAragon,Plaza Arag�n,19.52848,-99.03018,,,
01METRO-Olimpica,Ol�mpica,19.52135,-99.03334,,,
01METRO-Oceania,Ocean�a,19.44569,-99.08722,,,
01METRO-Nezahualcoyotl,Nezahualc�yotl,19.47289,-99.05461,,,
01METRO-Muzquiz,M�zquiz,19.50149,-99.04207,,,
01METRO-Morelos,Morelos,19.43917,-99.11957,,,
01METRO-Lagunilla,Lagunilla,19.44322,-99.13023,,,
01METRO-Impulsora,Impulsora,19.48575,-99.04896,,,
01METRO-Guerrero,Guerrero,19.44514,-99.14614,,,
01METRO-Garibaldi,Garibaldi/Lagunilla,19.44389,-99.13787,,,
01METRO-Ecatepec,Ecatepec,19.51513,-99.03607,,,
01METRO-DeportivoOceania,Deportivo Ocean�a,19.45101,-99.07933,,,
01METRO-CiudadAzteca,Ciudad Azteca,19.53451,-99.02751,,,
01METRO-Buenavista,Buenavista,19.44619,-99.15235,,,
01METRO-BosquesdeAragon,Bosque de Arag�n,19.45809,-99.06929,,,
01METRO-Tepalcates,Tepalcates,19.39128,-99.04633,,,
01METRO-SantaMarta,Santa Marta,19.36031,-98.99518,,,
01METRO-PenonViejo,Pen�n Viejo,19.37331,-99.01705,,,
01METRO-Pantitlan,Pantitl�n,19.4153,-99.07192,,,
01METRO-LosReyes,Los Reyes,19.35904,-98.97687,,,
01METRO-LaPaz,La Paz,19.35056,-98.96094,,,
01METRO-Guelatao,Guelatao,19.38515,-99.03566,,,
01METRO-CanaldeSanJuan,Canal de San Juan,19.39876,-99.05942,,,
01METRO-AgricolaOriental,Agr�cola Oriental,19.40462,-99.06957,,,
01METRO-Acatitla,Acatitla,19.36472,-99.00567,,,
